TF,Targets
ATF1,SRSF6
ATF1,RPL38
ATF1,ZNF330
ATF1,PABPC1
ATF1,ECE1
ATF1,CENPW
ATF1,CCNH
ATF1,ATF7IP
ATF1,TESK1
ATF1,MIEN1
ATF1,CBL
ATF1,PDS5A
ATF1,NOL8
ATF1,TFRC
ATF1,MYO1C
ATF1,SET
ATF1,PRPF38A
ATF1,ABT1
ATF1,IDH3G
ATF1,MME
ATF1,SPIN1
ATF1,ARHGDIA
ATF1,ZNF701
ATF1,TCF7
ATF1,NUMBL
ATF1,LCLAT1
ATF1,GOLGA8B
ATF1,CDKN1A
ATF1,ACSF2
ATF1,MED14OS
ATF1,TOB1
ATF1,FAM13B
ATF1,WDR45B
ATF1,C12orf49
ATF1,GDI2
ATF1,ZNF502
ATF1,ZNF561
ATF1,NAXE
ATF1,GBE1
ATF1,PPP3R1
ATF1,CDC23
ATF1,HNRNPF
ATF1,DCAF8
ATF1,GNPDA1
ATF1,CHD1
ATF1,RPS3A
ATF1,NDFIP2
ATF1,BZW2
ATF1,GTF2H2
ATF1,SMU1
ATF1,SCYL3
ATF1,MAP3K11
ATF1,GPS2
ATF1,AATF
ATF1,MTX2
ATF1,PICK1
ATF1,PFKFB3
ATF1,FBL
ATF1,ZNF263
ATF1,KIF21A
ATF1,TMEM126B
ATF1,TNKS2-AS1
ATF1,IQCG
ATF1,SMYD3
ATF1,PGM2
ATF1,XIST
ATF1,TCEA2
ATF1,PDE8A
ATF1,MPC1
ATF1,MAPK1
ATF1,SLC39A14
ATF1,MTHFD1
ATF1,ZFP36
ATF1,NXF1
ATF1,TDP1
ATF1,UBE2K
ATF1,UBE2S
ATF1,PATL1
ATF1,MAD2L2
ATF1,EIF5AL1
ATF1,GTPBP4
ATF1,AKIRIN2
ATF1,FIG4
ATF1,RERE
ATF1,PPP1R21
ATF1,GABPB1
ATF1,MKRN2
ATF1,LIN54
ATF1,ATAD3A
ATF1,ABHD5
ATF1,SELL
ATF1,GTF2F2
ATF1,SLC26A6
ATF1,ALYREF
ATF1,M6PR
ATF1,RNF4
ATF1,CWC15
ATF1,CTPS1
ATF1,UBR5
ATF1,EIF2B5
ATF1,SCML1
ATF1,JOSD2
