geneset genes
DZ_vitora_genes PRDM15
DZ_vitora_genes CCND3
DZ_vitora_genes AL359711.2
DZ_vitora_genes HMGB3
DZ_vitora_genes STK38
DZ_vitora_genes RAPGEF2
DZ_vitora_genes RBFOX2
DZ_vitora_genes SSBP2
DZ_vitora_genes FAM72B
DZ_vitora_genes FAM72A
DZ_vitora_genes FAM72C
DZ_vitora_genes FAM72D
DZ_vitora_genes FAM241A
DZ_vitora_genes RGCC
DZ_vitora_genes H2AFX
DZ_vitora_genes S100Z
DZ_vitora_genes ARHGAP19
DZ_vitora_genes RRM2B
DZ_vitora_genes EZR
DZ_vitora_genes PXMP2
DZ_vitora_genes AC135586.2
DZ_vitora_genes NCAPD2
DZ_vitora_genes APOLD1
DZ_vitora_genes RABGAP1
DZ_vitora_genes ATP8B3
DZ_vitora_genes MDM2
DZ_vitora_genes STK40
DZ_vitora_genes AC016727.1
DZ_vitora_genes SPIN4
DZ_vitora_genes CARHSP1
DZ_vitora_genes SKA2
DZ_vitora_genes OIP5
DZ_vitora_genes DNASE1
DZ_vitora_genes DEPDC1B
DZ_vitora_genes FBLN5
DZ_vitora_genes TRIM59
DZ_vitora_genes CDK1
DZ_vitora_genes PPP2R5C
DZ_vitora_genes AC022167.3
DZ_vitora_genes CDK19
DZ_vitora_genes TPD52
DZ_vitora_genes LSM10
DZ_vitora_genes CCNA2
DZ_vitora_genes FANCI
DZ_vitora_genes DNMT3B
DZ_vitora_genes TK1
DZ_vitora_genes PIF1
DZ_vitora_genes BIRC5
DZ_vitora_genes BUB1B
DZ_vitora_genes MFHAS1
DZ_vitora_genes PEX5
DZ_vitora_genes SMC4
DZ_vitora_genes CCDC110
DZ_vitora_genes TCF3
DZ_vitora_genes SPDL1
DZ_vitora_genes FOXO1
DZ_vitora_genes DCK
DZ_vitora_genes TUBB4A
DZ_vitora_genes TUBB2A
DZ_vitora_genes TUBB2B
DZ_vitora_genes AC092143.1
DZ_vitora_genes TUBB3
DZ_vitora_genes MME
DZ_vitora_genes SNTA1
DZ_vitora_genes CD27
DZ_vitora_genes TAPBPL
