"final_gene_name"	"Z-score"	"Enriched in"	"affy_hg_u133_plus_2"
"197"	"ZC3H12A"	3.163	"LZ"	"218810_at"
"198"	"LMO2"	3.162	"LZ"	"231049_at"
"199"	"DUSP10"	3.152	"LZ"	"221563_at"
"200"	"HACD2"	3.14	"LZ"	"212640_at"
"201"	"AGMAT"	3.134	"LZ"	"221648_s_at"
"202"	"SLC7A6"	3.122	"LZ"	"203580_s_at"
"203"	"HLA-DPB2"	3.102	"LZ"	"239975_at"
"204"	"HLA-DPB2"	3.102	"LZ"	"239975_at"
"205"	"HLA-DPB2"	3.102	"LZ"	"239975_at"
"206"	"HLA-DPB2"	3.102	"LZ"	"239975_at"
"207"	"HLA-DPB2"	3.102	"LZ"	"239975_at"
"208"	"HLA-DPB2"	3.102	"LZ"	"239975_at"
"209"	"SPARCL1"	3.091	"LZ"	"200795_at"
"210"	"KYNU"	3.091	"LZ"	"217388_s_at"
"211"	"ICAM1"	3.086	"LZ"	"202637_s_at"
"212"	"---"	3.084	"LZ"	"232614_at"
"213"	"TMC8"	3.077	"LZ"	"227353_at"
"214"	"AC093157.1"	3.077	"LZ"	"228661_s_at"
"215"	"SLC39A14"	3.069	"LZ"	"212110_at"
"216"	"ATIC"	3.06	"LZ"	"208758_at"
"217"	"HLA-F"	3.05	"LZ"	"221875_x_at"
"218"	"HLA-F"	3.05	"LZ"	"221875_x_at"
"219"	"HLA-F"	3.05	"LZ"	"221875_x_at"
"220"	"HLA-F"	3.05	"LZ"	"221875_x_at"
"221"	"HLA-F"	3.05	"LZ"	"221875_x_at"
"222"	"HLA-F"	3.05	"LZ"	"221875_x_at"
"223"	"HLA-F"	3.05	"LZ"	"221875_x_at"
"224"	"NT5C3A"	3.05	"LZ"	"223298_s_at"
"225"	"NT5C3AP1"	3.05	"LZ"	"223298_s_at"
"226"	"SMAGP"	3.049	"LZ"	"209679_s_at"
"227"	"PADI2"	3.048	"LZ"	"209791_at"
"228"	"BTN2A2"	3.032	"LZ"	"205298_s_at"
"229"	"LRRK2"	3.015	"LZ"	"229584_at"
"230"	"PLEK"	3.012	"LZ"	"203470_s_at"
"231"	"BCAR3"	3.012	"LZ"	"204032_at"
"232"	"CYTH1"	3.007	"LZ"	"202880_s_at"
"233"	"LINC00158"	2.992	"LZ"	"231303_at"
"234"	"AC104699.1"	2.98	"LZ"	"215565_at"
"235"	"NIPA2"	2.967	"LZ"	"212129_at"
"236"	"DUSP22"	2.947	"LZ"	"226440_at"
"237"	"MAP3K8"	2.946	"LZ"	"235421_at"
"238"	"LINC02099"	2.92	"LZ"	"1569100_a_at"
"239"	"DDX31"	2.912	"LZ"	"219328_at"
"240"	"ABRACL"	2.908	"LZ"	"223361_at"
"241"	"---"	2.907	"LZ"	"232779_at"
"242"	"DHRS9"	2.906	"LZ"	"223952_x_at"
"243"	"TTC3"	2.901	"LZ"	"208662_s_at"
"244"	"TTC27"	2.893	"LZ"	"218710_at"
"245"	"NOC3L"	2.878	"LZ"	"218889_at"
"246"	"CD58"	2.877	"LZ"	"211744_s_at"
"247"	"SAMSN1"	2.871	"LZ"	"1555638_a_at"
"248"	"RHOBTB3"	2.868	"LZ"	"225202_at"
"249"	"KYNU"	2.861	"LZ"	"204385_at"
"250"	"PDCD4"	2.861	"LZ"	"212593_s_at"
"251"	"MIR4680"	2.861	"LZ"	"212593_s_at"
"252"	"HLA-DQB1"	2.826	"LZ"	"209823_x_at"
"253"	"HLA-DQB1"	2.826	"LZ"	"209823_x_at"
"254"	"HLA-DQB1"	2.826	"LZ"	"209823_x_at"
"255"	"CD44"	2.821	"LZ"	"210916_s_at"
"256"	"PFAS"	2.821	"LZ"	"213302_at"
"257"	"DHRS9"	2.82	"LZ"	"224009_x_at"
"258"	"PASK"	2.818	"LZ"	"216945_x_at"
"259"	"CD44"	2.816	"LZ"	"204490_s_at"
"260"	"TRIB1"	2.812	"LZ"	"202241_at"
"261"	"CD44"	2.765	"LZ"	"209835_x_at"
"262"	"CD44"	2.762	"LZ"	"204489_s_at"
"263"	"IL7"	2.751	"LZ"	"206693_at"
"264"	"STAT6"	2.75	"LZ"	"201331_s_at"
"265"	"JAM2"	2.744	"LZ"	"219213_at"
"266"	"TMEM161A"	2.742	"LZ"	"43977_at"
"267"	"AKAP5"	2.741	"LZ"	"207800_at"
"268"	"IL21R"	2.739	"LZ"	"237753_at"
"269"	"PARP15"	2.728	"LZ"	"1564310_a_at"
"270"	"MVP"	2.706	"LZ"	"202180_s_at"
"271"	"TM2D3"	2.697	"LZ"	"1552426_a_at"
"272"	"TLCD1"	2.69	"LZ"	"227804_at"
"273"	"ATP6V1C2"	2.684	"LZ"	"1553989_a_at"
"274"	"BTN2A2"	2.683	"LZ"	"205299_s_at"
"275"	"HLA-G"	2.681	"LZ"	"211528_x_at"
"276"	"HLA-G"	2.681	"LZ"	"211528_x_at"
"277"	"HLA-G"	2.681	"LZ"	"211528_x_at"
"278"	"HLA-G"	2.681	"LZ"	"211528_x_at"
"279"	"HLA-G"	2.681	"LZ"	"211528_x_at"
"280"	"HLA-G"	2.681	"LZ"	"211528_x_at"
"281"	"HLA-G"	2.681	"LZ"	"211528_x_at"
"282"	"HLA-G"	2.681	"LZ"	"211528_x_at"
"283"	"IL27RA"	2.673	"LZ"	"222062_at"
"284"	"IL27RA"	2.673	"LZ"	"222062_at"
"285"	"IER5"	2.668	"LZ"	"218611_at"
"286"	"AL159163.1"	2.662	"LZ"	"217983_s_at"
"287"	"RNASET2"	2.662	"LZ"	"217983_s_at"
"288"	"SLAMF1"	2.659	"LZ"	"239427_at"
"289"	"PDGFA"	2.653	"LZ"	"205463_s_at"
"290"	"HLA-DQB1"	2.626	"LZ"	"211656_x_at"
"291"	"HLA-DQB1"	2.626	"LZ"	"211656_x_at"
"292"	"HLA-DQB1"	2.626	"LZ"	"211656_x_at"
"293"	"HLA-DQB1"	2.626	"LZ"	"211656_x_at"
