TF	Targets
ATF3	RNMT
ATF3	RPF2
ATF3	RPIA
ATF3	RPS27L
ATF3	RRAGC
ATF3	RRP7A
ATF3	RSL24D1
ATF3	RUFY1
ATF3	SAFB2
ATF3	SARNP
ATF3	SDCBP
ATF3	SFT2D2
ATF3	SLC16A1
ATF3	SLC1A5
ATF3	SLC20A1
ATF3	SLC25A26
ATF3	SLC25A33
ATF3	SLC29A1
ATF3	SLC35A4
ATF3	SLC38A1
ATF3	SLC3A2
ATF3	SLC4A7
ATF3	SNHG15
ATF3	SNHG8
ATF3	SNN
ATF3	SPPL2A
ATF3	SPTLC1
ATF3	STAMBPL1
ATF3	STAT5A
ATF3	STAU1
ATF3	STRN4
ATF3	TAF9
ATF3	TANK
ATF3	TBC1D23
ATF3	TBC1D9B
ATF3	TCAIM
ATF3	TFEC
ATF3	TGS1
ATF3	THAP9-AS1
ATF3	TIMM44
ATF3	TMEM126A
ATF3	TMEM199
ATF3	TMEM267
ATF3	TMEM38B
ATF3	TNFAIP8
ATF3	TNFRSF18
ATF3	TNIP2
ATF3	TRAF1
ATF3	TRIAP1
ATF3	TRIP6
ATF3	TSPYL2
ATF3	TUBE1
ATF3	UBXN11
ATF3	UPF2
ATF3	USP12
ATF3	VPS41
ATF3	WARS2
ATF3	WDPCP
ATF3	WDR1
ATF3	WDR4
ATF3	WTAP
ATF3	XPC
ATF3	YBX3
ATF3	ZBTB10
ATF3	ZBTB32
ATF3	ZC3H12D
ATF3	ZC3H4
ATF3	ZFAS1
ATF3	ZFR
ATF3	ZHX1
ATF3	ZNF212
ATF3	ZNF830
ATF3	ZRANB2
ATF4	AARS
ATF4	ACSL1
ATF4	ADCY3
ATF4	ADPGK
ATF4	ALG13
ATF4	ANKRD11
ATF4	APLF
ATF4	ARPP19
ATF4	ASNS
ATF4	ATAD1
ATF4	ATF4
ATF4	ATF5
ATF4	ATG101
ATF4	ATG5
ATF4	ATXN2L
ATF4	BBC3
ATF4	BCAS2
ATF4	BET1
ATF4	BUD31
ATF4	C6orf48
ATF4	CARS
ATF4	CASC3
ATF4	CBWD2
ATF4	CCDC59
ATF4	CCL3
ATF4	CCND1
ATF4	CCSER2
ATF4	CD63
ATF4	CDK17
ATF4	CEBPB
ATF4	CEBPG
ATF4	CHAC1
ATF4	CLK1
ATF4	CSNK1D
ATF4	CSTF2T
ATF4	DAP
ATF4	DCTN4
ATF4	DDIT3
ATF4	DDIT4
ATF4	DDX19A
ATF4	DESI1
ATF4	DRAM1
ATF4	DUSP10
ATF4	ECSIT
ATF4	EIF1
ATF4	EIF2S2
ATF4	EIF4A2
ATF4	EIF4EBP1
ATF4	EMD
ATF4	ENC1
ATF4	EPB41
ATF4	EPRS
ATF4	ETF1
ATF4	FAM50A
ATF4	FTH1
ATF4	GARS
ATF4	GHITM
ATF4	GOLGA5
ATF4	GOT1
ATF4	GTF2H1
ATF4	HAX1
ATF4	HERPUD1
ATF4	HSPA9
ATF4	IARS
ATF4	IFRD1
ATF4	IGF2R
ATF4	IL23A
ATF4	IL6
ATF4	IMPDH2
ATF4	INPP5F
ATF4	KLF6
ATF4	KLF7
ATF4	KYNU
ATF4	LIAS
ATF4	LONP1
ATF4	LZTFL1
ATF4	MAFG
ATF4	MAP4
ATF4	MIR155HG
